"ContributorID","GivenName","LastName","orcid","Frequency"
"http://data.globalchange.gov/person/5344","Timothy","Osborn","0000-0001-8425-6799",3
"http://data.globalchange.gov/person/1577","Klaus","Wolter","0000-0001-5002-5896",3
"http://data.globalchange.gov/person/2063","Robin","Leichenko","0000-0003-0607-5874",3
"http://data.globalchange.gov/person/9330","P. Lynn","Scarlett","0000-0003-3992-2566",3
"http://data.globalchange.gov/person/8716","Kevin D.","Lafferty","0000-0001-7583-4593",3
"http://data.globalchange.gov/person/1007","Paul","Fleming","0000-0002-1908-7180",3
"http://data.globalchange.gov/person/3683","Benjamin","Preston","0000-0002-7966-2386",3
"http://data.globalchange.gov/person/3705","Lesley","Jantarasami","0000-0003-4766-7331",3
"http://data.globalchange.gov/person/3791","Georgina","Mace","0000-0001-8965-5211",3
"http://data.globalchange.gov/person/3846","Sandra ","McLellan","0000-0003-3283-1151",3
"http://data.globalchange.gov/person/4348","Michael","Roderick","0000-0002-3630-7739",3
"http://data.globalchange.gov/person/2235","Efthimios","Tagaris","0000-0001-7988-9073",3
"http://data.globalchange.gov/person/4790","Kuo-Jen","Liao","0000-0001-7047-8841",3
"http://data.globalchange.gov/person/5133","Anne","Clites","0000-0002-2385-3802",3
"http://data.globalchange.gov/person/4307","Brent M.","Lofgren","0000-0003-2189-0914",3
"http://data.globalchange.gov/person/5225","Gavin A.","Schmidt","0000-0002-2258-0486",3
"http://data.globalchange.gov/person/6107","Joanna I.","House","0000-0003-4576-3960",3
"http://data.globalchange.gov/person/9010","Hans","Paerl","0000-0003-4725-1870",3
"http://data.globalchange.gov/person/3005","Martin","Vermeer","0000-0003-3107-6342",3
"http://data.globalchange.gov/person/2288","Michael G.","Ryan","0000-0002-2500-6738",3
"http://data.globalchange.gov/person/2865","Suraje","Dessai","0000-0002-7879-9364",3
"http://data.globalchange.gov/person/6783","Sarah","Cooley","0000-0002-1034-0653",3
"http://data.globalchange.gov/person/920","John","Balbus","0000-0003-3356-8332",3
"http://data.globalchange.gov/person/842","Gregg","Garfin","0000-0002-2760-132X",3
"http://data.globalchange.gov/person/6678","Robert","Hirsch","0000-0002-4534-075X",3
"http://data.globalchange.gov/person/2178","C. Mark","Eakin","0000-0002-5987-0858",3
"http://data.globalchange.gov/person/4006","Sergey","Paltsev","0000-0003-3287-0732",3
"http://data.globalchange.gov/person/5157","Ian","Joughin","0000-0001-6229-679X",3
"http://data.globalchange.gov/person/5392","Bart","Nijssen","0000-0002-4062-0322",3
"http://data.globalchange.gov/person/8417","Jon K.","Eischeid","0000-0003-2983-7130",3
"http://data.globalchange.gov/person/2843","Christopher","Weaver","0000-0003-4016-5451",3
"http://data.globalchange.gov/person/4479","Eike","Luedeling","0000-0002-7316-3631",3
"http://data.globalchange.gov/person/5770","Bruce A","Hungate","0000-0002-7337-1887",3
"http://data.globalchange.gov/person/7223","Michael C.","Dietze","0000-0002-2324-2518",3
"http://data.globalchange.gov/person/6580","Patrick","Bartlein","0000-0001-7657-5685",3
"http://data.globalchange.gov/person/9196","Thomas T.","Veblen","0000-0002-3037-640X",3
"http://data.globalchange.gov/person/5066","Rebecca J.","Barthelmie","0000-0003-0403-6046",3
"http://data.globalchange.gov/person/2697","Ronald","Kwok","0000-0003-4051-5896",3
"http://data.globalchange.gov/person/3501","Peter H.","Gleick","0000-0001-7232-9284",3
"http://data.globalchange.gov/person/4043","Richard","Rood","0000-0002-2310-4262",3
"http://data.globalchange.gov/person/4969","Christopher H.","Baisan","0000-0002-7362-1591",3
"http://data.globalchange.gov/person/2090","Michael","Brauer","0000-0002-9103-9343",3
"http://data.globalchange.gov/person/9252","Regan","Early","0000-0003-4108-5904",3
