"s","lauchDate","deactivated"
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-10",1997-04-25 00:00:00,2006-01-15 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-11",2000-05-03 00:00:00,2011-12-14 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-3",1984-02-26 00:00:00,1989-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-5",1984-02-26 00:00:00,1989-01-01 00:00:00
"http://data.globalchange.gov/platform/fy-1c-polar-orbiting-meteorological-satellite",1999-05-10 00:00:00,2001-05-10 00:00:00
"http://data.globalchange.gov/platform/fy-3c-polar-orbiting-meteorological-satellite",2013-09-23 00:00:00,2016-09-01 00:00:00
"http://data.globalchange.gov/platform/sich-1",1995-08-31 00:00:00,2001-12-14 00:00:00
"http://data.globalchange.gov/platform/nigeriasat-1",2003-09-27 00:00:00,2010-12-31 00:00:00
"http://data.globalchange.gov/platform/okean-01-n7",1994-10-11 00:00:00,2001-05-03 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-meteorological-satellite-1",1994-11-01 00:00:00,1998-09-15 00:00:00
"http://data.globalchange.gov/platform/meteor-2-n24",1993-01-01 00:00:00,2001-01-01 00:00:00
"http://data.globalchange.gov/platform/resurs-02",1996-01-01 00:00:00,1998-01-01 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-f-series-number-1m",1995-01-01 00:00:00,1998-01-01 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-f-series-number-3",1993-01-01 00:00:00,1998-01-01 00:00:00
"http://data.globalchange.gov/platform/almaz-1b",1997-01-01 00:00:00,2000-01-01 00:00:00
"http://data.globalchange.gov/platform/optical-imaging-satellite",2005-10-27 00:00:00,2010-12-31 00:00:00
"http://data.globalchange.gov/platform/uk-disaster-monitoring-constellation",2003-09-27 00:00:00,2011-10-04 00:00:00
"http://data.globalchange.gov/platform/federation-satellite",2002-12-14 00:00:00,2005-12-14 00:00:00
"http://data.globalchange.gov/platform/soil-moisture-active-passive",2015-01-31 00:00:00,2018-06-01 00:00:00
"http://data.globalchange.gov/platform/korea-multi-purpose-satellite-3a",2015-03-25 00:00:00,2019-03-01 00:00:00
"http://data.globalchange.gov/platform/constellation-of-small-satellites-for-mediterranean-basin-observation-3",2008-10-25 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/constellation-of-small-satellites-for-mediterranean-basin-observation-4",2010-11-06 00:00:00,2017-11-01 00:00:00
"http://data.globalchange.gov/platform/laser-geodynamics-satellite-1",1976-05-04 00:00:00,2052-05-01 00:00:00
"http://data.globalchange.gov/platform/laser-geodynamics-satellite-2",1992-10-22 00:00:00,2052-10-01 00:00:00
"http://data.globalchange.gov/platform/laser-relativity-satellite",2012-02-13 00:00:00,2052-02-01 00:00:00
"http://data.globalchange.gov/platform/communication-oceanographic-meteorological-satellite",2010-06-26 00:00:00,2018-03-01 00:00:00
"http://data.globalchange.gov/platform/proba-v",2013-05-07 00:00:00,2016-05-01 00:00:00
"http://data.globalchange.gov/platform/terra",1999-12-18 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/enhanced-polar-outflow-probe-on-the-cascade-smallsat-and-ionospheric-polar-explorer",2013-09-29 00:00:00,2015-09-01 00:00:00
"http://data.globalchange.gov/platform/radarsat-1",1995-11-04 00:00:00,2013-03-29 00:00:00
"http://data.globalchange.gov/platform/radarsat-2",2007-12-14 00:00:00,2015-04-01 00:00:00
"http://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-2",1990-01-22 00:00:00,2009-06-30 00:00:00
"http://data.globalchange.gov/platform/starlette",1975-02-06 00:00:00,2050-12-01 00:00:00
"http://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-4",1998-03-24 00:00:00,2013-06-29 00:00:00
"http://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-5",2002-05-04 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/stella",1993-09-30 00:00:00,2050-12-01 00:00:00
"http://data.globalchange.gov/platform/diademe-12",1967-02-15 00:00:00,2050-12-01 00:00:00
"http://data.globalchange.gov/platform/pleiades-1a",2011-12-17 00:00:00,2016-12-01 00:00:00
"http://data.globalchange.gov/platform/meteorological-operational-polar-satellite-b",2012-09-17 00:00:00,2017-09-01 00:00:00
"http://data.globalchange.gov/platform/earth-resources-satellite",2011-11-22 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/china-brazil-earth-resources-satellite-2b",2007-09-19 00:00:00,2010-04-16 00:00:00
"http://data.globalchange.gov/platform/fy-1a-polar-orbiting-meteorological-satellite",1988-01-01 00:00:00,1988-02-01 00:00:00
"http://data.globalchange.gov/platform/sac-a",1998-12-01 00:00:00,1999-08-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-5",1991-03-02 00:00:00,2007-04-26 00:00:00
"http://data.globalchange.gov/platform/meteosat-6",1993-11-20 00:00:00,2011-05-02 00:00:00
"http://data.globalchange.gov/platform/sentinel-1-a",2014-04-03 00:00:00,2021-01-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-1",1977-01-01 00:00:00,1985-01-01 00:00:00
"http://data.globalchange.gov/platform/gravity-recovery-and-climate-experiment",2002-03-17 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/ocean-satellite-2",2009-09-24 00:00:00,2016-09-01 00:00:00
"http://data.globalchange.gov/platform/youthsat",2011-04-20 00:00:00,2013-04-19 00:00:00
"http://data.globalchange.gov/platform/ocean-satellite-1",1999-05-26 00:00:00,2010-12-31 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-1",2003-10-17 00:00:00,2013-12-07 00:00:00
"http://data.globalchange.gov/platform/cartography-satellite-1",2005-05-05 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/cartography-satellite-2",2007-01-10 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/cartography-satellite-2b",2010-07-12 00:00:00,2015-07-01 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1c",1995-12-28 00:00:00,2007-09-21 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-p2",1994-10-15 00:00:00,1997-12-31 00:00:00
"http://data.globalchange.gov/platform/oceansat-1",1999-05-26 00:00:00,2006-12-31 00:00:00
"http://data.globalchange.gov/platform/remote-sensing-satellite-1",2007-12-01 00:00:00,2011-12-01 00:00:00
"http://data.globalchange.gov/platform/data-collecting-satellite-2",1998-10-22 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/aqua",2002-05-04 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-meteorological-satellite",1983-09-06 00:00:00,1990-06-01 00:00:00
"http://data.globalchange.gov/platform/greenhouse-gases-observing-satellite",2009-01-23 00:00:00,2018-03-01 00:00:00
"http://data.globalchange.gov/platform/international-space-station-japanese-experiment-mo",2009-09-10 00:00:00,2011-01-19 00:00:00
"http://data.globalchange.gov/platform/marine-observation-satellite-1",1987-02-19 00:00:00,1995-11-29 00:00:00
"http://data.globalchange.gov/platform/korea-multi-purpose-satellite-1",1999-12-21 00:00:00,2008-01-31 00:00:00
"http://data.globalchange.gov/platform/earth-radiation-budget-satellite",1984-10-05 00:00:00,2005-10-14 00:00:00
"http://data.globalchange.gov/platform/nimbus-6",1975-06-12 00:00:00,1983-03-29 00:00:00
"http://data.globalchange.gov/platform/orbiting-carbon-observatory-2",2014-07-02 00:00:00,2017-10-01 00:00:00
"http://data.globalchange.gov/platform/quick-scatterometer",1999-06-19 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/quick-total-ozone-mapping-spectrometer",2001-09-21 00:00:00,2001-09-21 00:00:00
"http://data.globalchange.gov/platform/landsat-5",1984-03-01 00:00:00,2013-06-05 00:00:00
"http://data.globalchange.gov/platform/landsat-7",1999-04-15 00:00:00,2017-01-01 00:00:00
"http://data.globalchange.gov/platform/landsat-8",2013-02-11 00:00:00,2023-05-01 00:00:00
"http://data.globalchange.gov/platform/nimbus-3",1969-04-14 00:00:00,1972-01-22 00:00:00
"http://data.globalchange.gov/platform/total-ozone-mapping-spectometer-earth-probe",1996-07-02 00:00:00,2006-01-18 00:00:00
"http://data.globalchange.gov/platform/constellation-observing-system-for-meteorology-ionosphere-and-climate-2",2006-04-14 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/constellation-observing-system-for-meteorology-ionosphere-and-climate-3",2006-04-14 00:00:00,2010-07-05 00:00:00
"http://data.globalchange.gov/platform/constellation-observing-system-for-meteorology-ionosphere-and-climate-6",2006-04-14 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-11",1991-11-01 00:00:00,1991-11-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-12",1994-08-29 00:00:00,2004-09-30 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-13",1997-03-24 00:00:00,2008-05-01 00:00:00
